Track file,G:\Water Maze Data\xxx_0001\data\track_00001.trk
Object,0
Samples,1500
Name,9,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
164,13.0400,221.3327,108.3497,84.0000,wall,q1,0.0000,8.5539,90.5282,2.2542,28.1769
165,13.1200,220.9763,106.9240,94.0000,wall,q1,0.0000,8.9103,90.0963,1.4695,18.3691
166,13.2000,220.2634,105.1419,90.0000,wall,q1,0.0000,9.7282,89.3201,1.9193,23.9918
167,13.2800,219.9070,103.7163,97.0000,wall,q1,0.0000,10.3360,88.9379,1.4695,18.3691
168,13.3600,219.1942,101.9342,91.0000,wall,q1,0.0000,11.0488,88.2250,1.9193,23.9918
169,13.4400,218.4814,100.1521,93.0000,wall,q1,0.0000,11.4552,87.5483,1.9193,23.9918
170,13.5200,218.1250,98.0137,87.0000,wall,q1,0.0000,11.7616,87.2836,2.1680,27.0997
171,13.6000,217.4121,96.5880,97.0000,wall,q1,0.0000,12.4745,86.6626,1.5939,19.9241
172,13.6800,217.0557,94.4495,91.0000,wall,q1,0.0000,12.6011,86.4878,2.1680,27.0997
173,13.7600,216.6993,93.0239,91.0000,wall,q1,0.0000,12.7962,86.2832,1.4695,18.3691
174,13.8400,216.3429,90.8854,90.0000,wall,q1,0.0000,12.7962,86.1990,2.1680,27.0997
175,13.9200,215.9865,89.1033,83.0000,wall,q1,0.0000,12.8754,86.1118,1.8174,22.7170
176,14.0000,215.9865,87.6777,92.0000,wall,q1,0.0000,12.6564,86.3504,1.4257,17.8207
177,14.0800,215.9865,85.8956,90.0000,wall,q1,0.0000,12.3722,86.6806,1.7821,22.2758
178,14.1600,215.6301,83.7571,87.0000,wall,q1,0.0000,12.1912,86.7755,2.1680,27.0997
179,14.2400,215.6301,81.9751,88.0000,wall,q1,0.0000,11.7562,87.1843,1.7821,22.2758
180,14.3200,215.2737,79.8366,87.0000,wall,q1,0.0000,11.6040,87.3762,2.1680,27.0997
181,14.4000,215.2737,78.0545,92.0000,wall,q1,0.0000,11.1632,87.8617,1.7821,22.2758
182,14.4800,214.9172,76.2725,90.0000,wall,q1,0.0000,10.9332,88.0406,1.8174,22.7170
183,14.5600,214.9172,74.1340,86.0000,wall,q1,0.0000,10.2061,88.7088,2.1385,26.7310
184,14.6400,214.5608,72.7083,84.0000,wall,q1,0.0000,10.0367,88.8446,1.4695,18.3691
185,14.7200,214.2044,70.5698,89.0000,wall,q1,0.0000,9.5967,89.2594,2.1680,27.0997
186,14.8000,213.8480,69.1442,85.0000,wall,q1,0.0000,9.4701,89.4540,1.4695,18.3691
187,14.8800,213.1352,67.0057,81.0000,wall,q1,0.0000,9.2462,89.6269,2.2542,28.1769
188,14.9600,212.7788,65.5801,92.0000,wall,q1,0.0000,8.9317,89.8814,1.4695,18.3691
189,15.0400,211.7095,63.7980,84.0000,wall,q1,0.0000,9.0868,89.6704,2.0782,25.9779
190,15.1200,210.6403,62.0159,87.0000,wall,q1,0.0000,9.2462,89.5070,2.0782,25.9779
191,15.2000,209.5710,60.2339,88.0000,wall,q1,0.0000,9.4096,89.3917,2.0782,25.9779
192,15.2800,208.5018,59.1646,92.0000,wall,q1,0.0000,9.7282,88.9728,1.5121,18.9017
193,15.3600,207.4326,57.0261,86.0000,wall,q1,0.0000,9.5636,89.1223,2.3909,29.8862
194,15.4400,206.7197,55.6005,92.0000,wall,q1,0.0000,9.4096,89.2574,1.5939,19.9241
195,15.5200,206.0069,54.1748,84.0000,wall,q1,0.0000,9.2462,89.4207,1.5939,19.9241
196,15.6000,205.6505,52.0363,79.0000,wall,q4,0.0000,8.3510,90.3068,2.1680,27.0997
197,15.6800,205.6505,50.6107,86.0000,wall,q4,0.0000,7.5185,91.1161,1.4257,17.8207
198,15.7600,205.6505,49.1850,79.0000,wall,q4,0.0000,6.6297,91.9404,1.4257,17.8207
199,15.8400,206.0069,48.4722,76.0000,wall,q4,0.0000,5.9319,92.6464,0.7970,9.9621
200,15.9200,206.0069,48.4722,70.0000,wall,q4,0.0000,5.9319,92.6464,0.0000,0.0000
201,16.0000,206.0069,48.8286,78.0000,wall,q4,0.0000,6.1320,92.4378,0.3564,4.4552
202,16.0800,206.0069,48.8286,71.0000,wall,q4,0.0000,6.1320,92.4378,0.0000,0.0000
203,16.1600,205.2941,48.4722,67.0000,wall,q4,0.0000,6.5429,92.0701,0.7970,9.9621
204,16.2400,204.5813,48.4722,63.0000,wall,q4,0.0000,7.0746,91.4956,0.7128,8.9103
205,16.3200,203.5120,47.7594,63.0000,wall,q4,0.0000,7.5185,91.0668,1.2851,16.0633
206,16.4000,202.7992,47.7594,81.0000,wall,q4,0.0000,8.0647,90.5001,0.7128,8.9103
207,16.4800,200.6607,46.6901,82.0000,wall,q4,0.0000,9.0868,89.4792,2.3909,29.8862
208,16.5600,199.2351,46.3337,89.0000,wall,q4,0.0000,9.9859,88.6002,1.4695,18.3691
209,16.6400,197.0966,45.6209,101.0000,wall,q4,0.0000,11.0890,87.4280,2.2542,28.1769
210,16.7200,194.9581,44.9081,96.0000,wall,q4,0.0000,12.0971,86.2987,2.2542,28.1769
211,16.8000,192.8196,44.1953,94.0000,wall,q4,0.0000,13.1921,85.2141,2.2542,28.1769
212,16.8800,191.0375,43.8388,104.0000,wall,q4,0.0000,14.3365,84.1790,1.8174,22.7170
213,16.9600,189.2555,43.1260,94.0000,wall,q4,0.0000,14.8885,83.4254,1.9193,23.9918
214,17.0400,187.4734,42.4132,103.0000,wall,q4,0.0000,15.6254,82.7095,1.9193,23.9918
215,17.1200,186.0478,41.3439,91.0000,wall,q4,0.0000,15.6984,82.5355,1.7821,22.2758
216,17.2000,184.2657,40.6311,92.0000,wall,q4,0.0000,16.3834,81.8971,1.9193,23.9918
217,17.2800,182.4836,39.9183,87.0000,wall,q4,0.0000,16.9062,81.2991,1.9193,23.9918
218,17.3600,181.0580,39.2055,97.0000,wall,q4,0.0000,17.2004,80.9622,1.5939,19.9241
219,17.4400,179.2759,38.4926,100.0000,wall,q4,0.0000,17.6955,80.4409,1.9193,23.9918
220,17.5200,177.4938,38.1362,99.0000,wall,q4,0.0000,18.4820,79.6727,1.8174,22.7170
221,17.6000,175.7118,37.4234,97.0000,wall,q4,0.0000,18.8899,79.2328,1.9193,23.9918
222,17.6800,173.5733,37.0670,92.0000,wall,q4,0.0000,19.6836,78.3442,2.1680,27.0997
223,17.7600,171.7912,37.0670,90.0000,wall,q4,0.0000,20.6012,77.3896,1.7821,22.2758
224,17.8400,170.3656,37.4234,99.0000,center,q4,0.0000,21.6505,76.3417,1.4695,18.3691
225,17.9200,168.9399,38.1362,101.0000,center,q4,0.0000,22.9880,75.0004,1.5939,19.9241
226,18.0000,167.5143,38.8491,94.0000,center,q4,0.0000,24.3303,73.6691,1.5939,19.9241
227,18.0800,165.7322,40.2747,106.0000,center,q4,0.0000,26.4611,71.5521,2.2822,28.5270
228,18.1600,164.6630,41.7004,104.0000,center,q4,0.0000,28.2130,69.7870,1.7821,22.2758
